pm25,pm10,o3,no2,so2
16.0,26.0,9.0,102.0,6.0
16.0,25.0,9.0,98.0,5.0
14.0,23.0,10.0,67.0,3.0
14.0,22.0,12.0,58.0,2.0
13.0,21.0,14.0,51.0,2.0
12.0,20.0,16.0,73.0,3.0
12.0,19.0,16.0,72.0,4.0
11.0,18.0,16.0,72.0,4.0
11.0,18.0,15.0,76.0,6.0
11.0,17.0,14.0,89.0,6.0
10.0,17.0,13.0,91.0,6.0
10.0,17.0,12.0,83.0,6.0
10.0,17.0,12.0,81.0,6.0
10.0,17.0,13.0,72.0,5.0
10.0,16.0,13.0,83.0,5.0
10.0,16.0,13.0,90.0,6.0
9.0,16.0,14.0,88.0,6.0
9.0,16.0,15.0,67.0,4.0
8.0,16.0,19.0,57.0,2.0
8.0,16.0,28.0,27.0,1.0
7.0,14.0,40.0,91.0,6.0
7.0,14.0,38.0,99.0,9.0
7.0,14.0,35.0,109.0,10.0
8.0,15.0,25.0,132.0,14.0
8.0,15.0,25.0,98.0,13.0
8.0,15.0,15.0,110.0,14.0
9.0,15.0,10.0,120.0,13.0
9.0,16.0,9.0,119.0,15.0
9.0,15.0,14.0,39.0,10.0
8.0,15.0,23.0,62.0,1.0
8.0,14.0,22.0,71.0,1.0
8.0,15.0,18.0,82.0,3.0
9.0,17.0,12.0,76.0,3.0
9.0,17.0,11.0,72.0,3.0
9.0,18.0,10.0,77.0,4.0
9.0,19.0,8.0,87.0,7.0
10.0,19.0,6.0,105.0,15.0
10.0,20.0,5.0,105.0,18.0
11.0,21.0,5.0,159.0,27.0
12.0,24.0,5.0,154.0,28.0
13.0,26.0,5.0,161.0,24.0
15.0,30.0,6.0,139.0,20.0
16.0,32.0,6.0,136.0,18.0
16.0,33.0,6.0,133.0,17.0
17.0,35.0,6.0,125.0,14.0
17.0,35.0,7.0,105.0,12.0
18.0,35.0,7.0,76.0,8.0
18.0,35.0,7.0,83.0,7.0
18.0,34.0,12.0,50.0,3.0
17.0,33.0,17.0,30.0,0.0
17.0,32.0,23.0,29.0,1.0
17.0,32.0,28.0,38.0,1.0
16.0,29.0,33.0,103.0,11.0
15.0,28.0,31.0,117.0,15.0
13.0,23.0,18.0,81.0,6.0
13.0,22.0,15.0,116.0,15.0
13.0,21.0,11.0,118.0,18.0
12.0,20.0,10.0,157.0,20.0
12.0,20.0,10.0,121.0,14.0
11.0,19.0,10.0,175.0,26.0
11.0,18.0,9.0,146.0,22.0
11.0,19.0,8.0,139.0,19.0
11.0,19.0,8.0,99.0,14.0
11.0,20.0,8.0,125.0,14.0
11.0,20.0,9.0,79.0,10.0
11.0,21.0,9.0,78.0,8.0
11.0,21.0,12.0,50.0,5.0
11.0,21.0,15.0,41.0,6.0
11.0,22.0,18.0,50.0,4.0
11.0,22.0,18.0,52.0,4.0
11.0,22.0,25.0,26.0,3.0
11.0,22.0,27.0,26.0,2.0
10.0,22.0,26.0,88.0,6.0
10.0,22.0,24.0,131.0,12.0
10.0,22.0,23.0,68.0,10.0
10.0,23.0,27.0,32.0,3.0
9.0,22.0,30.0,32.0,3.0
9.0,21.0,35.0,84.0,2.0
8.0,20.0,34.0,78.0,4.0
8.0,19.0,33.0,63.0,2.0
7.0,18.0,29.0,62.0,2.0
6.0,17.0,24.0,49.0,0.0
6.0,16.0,23.0,50.0,0.0
6.0,16.0,23.0,37.0,0.0
6.0,15.0,24.0,38.0,0.0
7.0,15.0,38.0,62.0,0.0
6.0,15.0,37.0,64.0,1.0
7.0,15.0,34.0,37.0,3.0
7.0,14.0,33.0,25.0,4.0
7.0,14.0,30.0,38.0,4.0
7.0,14.0,27.0,59.0,3.0
7.0,14.0,30.0,44.0,3.0
7.0,14.0,29.0,60.0,5.0
8.0,16.0,16.0,73.0,9.0
8.0,17.0,13.0,87.0,11.0
9.0,17.0,10.0,73.0,11.0
9.0,18.0,7.0,68.0,11.0
10.0,19.0,7.0,72.0,11.0
10.0,19.0,7.0,73.0,10.0
11.0,21.0,7.0,61.0,8.0
12.0,22.0,7.0,72.0,10.0
13.0,22.0,7.0,64.0,10.0
13.0,22.0,8.0,94.0,11.0
13.0,23.0,8.0,116.0,21.0
14.0,24.0,8.0,139.0,22.0
15.0,24.0,9.0,121.0,21.0
15.0,25.0,9.0,99.0,16.0
15.0,23.0,11.0,73.0,4.0
15.0,23.0,11.0,63.0,4.0
15.0,23.0,12.0,50.0,3.0
15.0,22.0,15.0,33.0,2.0
15.0,21.0,17.0,30.0,2.0
14.0,20.0,21.0,21.0,0.0
14.0,19.0,24.0,17.0,0.0
13.0,18.0,29.0,12.0,0.0
11.0,15.0,48.0,22.0,0.0
9.0,13.0,48.0,35.0,0.0
8.0,11.0,45.0,42.0,0.0
8.0,11.0,44.0,37.0,1.0
8.0,11.0,39.0,44.0,1.0
8.0,11.0,37.0,42.0,1.0
7.0,11.0,35.0,39.0,1.0
7.0,11.0,33.0,26.0,0.0
6.0,11.0,32.0,27.0,0.0
6.0,10.0,45.0,50.0,1.0
6.0,11.0,42.0,64.0,2.0
6.0,11.0,36.0,50.0,2.0
6.0,11.0,33.0,41.0,2.0
6.0,12.0,30.0,47.0,3.0
7.0,12.0,28.0,38.0,2.0
7.0,12.0,31.0,46.0,1.0
7.0,13.0,30.0,62.0,2.0
7.0,13.0,29.0,44.0,2.0
8.0,13.0,29.0,45.0,2.0
8.0,14.0,28.0,40.0,2.0
9.0,14.0,28.0,39.0,1.0
10.0,15.0,31.0,21.0,1.0
10.0,16.0,32.0,20.0,0.0
11.0,16.0,33.0,22.0,1.0
11.0,17.0,33.0,29.0,1.0
12.0,17.0,32.0,49.0,3.0
12.0,18.0,30.0,57.0,3.0
12.0,18.0,28.0,58.0,4.0
13.0,19.0,24.0,47.0,4.0
13.0,19.0,23.0,57.0,4.0
13.0,19.0,24.0,57.0,4.0
13.0,19.0,26.0,80.0,5.0
13.0,19.0,29.0,65.0,5.0
14.0,20.0,29.0,94.0,7.0
14.0,20.0,27.0,66.0,5.0
15.0,21.0,24.0,104.0,6.0
15.0,21.0,20.0,87.0,6.0
16.0,22.0,17.0,60.0,6.0
16.0,23.0,13.0,55.0,5.0
17.0,23.0,12.0,46.0,5.0
17.0,23.0,13.0,31.0,3.0
17.0,23.0,15.0,25.0,2.0
17.0,23.0,19.0,20.0,2.0
17.0,22.0,24.0,17.0,1.0
16.0,22.0,28.0,29.0,1.0
16.0,22.0,31.0,44.0,3.0
15.0,21.0,33.0,52.0,3.0
15.0,21.0,35.0,49.0,4.0
15.0,20.0,34.0,72.0,6.0
14.0,20.0,33.0,70.0,5.0
14.0,20.0,31.0,62.0,5.0
14.0,21.0,28.0,47.0,4.0
14.0,21.0,29.0,49.0,4.0
14.0,21.0,30.0,71.0,6.0
13.0,21.0,25.0,107.0,7.0
13.0,20.0,22.0,90.0,6.0
12.0,20.0,10.0,153.0,23.0
12.0,20.0,10.0,130.0,21.0
12.0,21.0,8.0,120.0,19.0
12.0,22.0,7.0,85.0,13.0
12.0,23.0,7.0,83.0,11.0
12.0,24.0,7.0,72.0,8.0
13.0,25.0,7.0,76.0,7.0
13.0,26.0,7.0,93.0,8.0
14.0,27.0,7.0,131.0,20.0
14.0,28.0,7.0,139.0,26.0
15.0,29.0,7.0,164.0,28.0
15.0,31.0,7.0,150.0,29.0
15.0,32.0,8.0,171.0,28.0
16.0,32.0,8.0,140.0,24.0
16.0,33.0,8.0,155.0,21.0
16.0,34.0,8.0,134.0,19.0
17.0,35.0,9.0,143.0,20.0
17.0,36.0,9.0,168.0,21.0
18.0,37.0,10.0,176.0,20.0
18.0,37.0,10.0,131.0,16.0
15.0,34.0,20.0,50.0,5.0
14.0,33.0,24.0,46.0,5.0
13.0,31.0,31.0,53.0,5.0
13.0,30.0,29.0,112.0,12.0
12.0,28.0,30.0,114.0,13.0
12.0,27.0,28.0,92.0,10.0
11.0,26.0,27.0,79.0,10.0
11.0,23.0,24.0,78.0,7.0
10.0,22.0,24.0,55.0,5.0
10.0,21.0,24.0,67.0,4.0
7.0,16.0,38.0,56.0,2.0
7.0,16.0,35.0,68.0,4.0
7.0,15.0,33.0,70.0,4.0
7.0,15.0,29.0,92.0,6.0
7.0,16.0,17.0,95.0,9.0
8.0,18.0,12.0,85.0,9.0
8.0,18.0,10.0,72.0,7.0
8.0,19.0,9.0,81.0,8.0
8.0,19.0,9.0,94.0,11.0
8.0,20.0,8.0,108.0,13.0
8.0,21.0,8.0,112.0,15.0
8.0,22.0,9.0,113.0,15.0
9.0,23.0,9.0,107.0,14.0
9.0,24.0,10.0,121.0,15.0
9.0,25.0,10.0,102.0,14.0
9.0,25.0,11.0,119.0,14.0
10.0,25.0,12.0,114.0,14.0
10.0,26.0,12.0,125.0,13.0
10.0,26.0,14.0,109.0,13.0
11.0,25.0,18.0,88.0,8.0
11.0,25.0,19.0,80.0,9.0
11.0,24.0,21.0,66.0,7.0
11.0,23.0,23.0,66.0,7.0
10.0,22.0,25.0,45.0,5.0
10.0,21.0,28.0,51.0,5.0
9.0,20.0,32.0,33.0,4.0
9.0,19.0,35.0,55.0,4.0
9.0,18.0,38.0,50.0,4.0
8.0,18.0,41.0,40.0,4.0
8.0,17.0,43.0,45.0,4.0
8.0,16.0,43.0,63.0,5.0
7.0,14.0,41.0,63.0,7.0
7.0,13.0,38.0,69.0,6.0
7.0,12.0,37.0,61.0,6.0
6.0,12.0,37.0,53.0,5.0
6.0,11.0,35.0,56.0,6.0
4.0,10.0,31.0,77.0,6.0
4.0,10.0,29.0,73.0,6.0
4.0,10.0,24.0,60.0,5.0
5.0,10.0,28.0,57.0,3.0
5.0,11.0,27.0,82.0,7.0
6.0,13.0,21.0,179.0,26.0
8.0,17.0,10.0,146.0,16.0
12.0,27.0,12.0,85.0,10.0
12.0,27.0,19.0,67.0,5.0
12.0,27.0,31.0,39.0,3.0
12.0,27.0,34.0,45.0,3.0
12.0,27.0,35.0,96.0,7.0
11.0,23.0,14.0,107.0,14.0
10.0,21.0,14.0,123.0,14.0
9.0,19.0,15.0,119.0,12.0
9.0,18.0,14.0,90.0,13.0
9.0,17.0,14.0,79.0,8.0
9.0,17.0,13.0,77.0,7.0
9.0,16.0,13.0,62.0,6.0
9.0,17.0,13.0,52.0,6.0
10.0,17.0,14.0,44.0,5.0
11.0,17.0,16.0,46.0,3.0
11.0,18.0,16.0,62.0,5.0
11.0,18.0,15.0,73.0,6.0
12.0,19.0,15.0,79.0,8.0
12.0,19.0,14.0,111.0,15.0
12.0,19.0,13.0,107.0,18.0
13.0,20.0,11.0,129.0,21.0
13.0,20.0,9.0,136.0,18.0
13.0,20.0,8.0,114.0,14.0
13.0,21.0,9.0,133.0,14.0
13.0,22.0,10.0,125.0,14.0
13.0,21.0,11.0,135.0,13.0
14.0,22.0,11.0,129.0,12.0
14.0,22.0,12.0,145.0,15.0
14.0,23.0,12.0,151.0,16.0
14.0,22.0,14.0,92.0,9.0
14.0,22.0,14.0,81.0,8.0
13.0,22.0,15.0,77.0,8.0
13.0,22.0,15.0,70.0,8.0
13.0,21.0,16.0,55.0,5.0
12.0,21.0,17.0,44.0,6.0
12.0,21.0,18.0,52.0,6.0
11.0,20.0,18.0,54.0,6.0
11.0,20.0,19.0,67.0,7.0
11.0,20.0,17.0,128.0,14.0
11.0,20.0,16.0,131.0,18.0
11.0,20.0,15.0,134.0,19.0
10.0,20.0,15.0,145.0,19.0
10.0,19.0,15.0,100.0,14.0
10.0,18.0,14.0,117.0,17.0
11.0,19.0,14.0,128.0,14.0
13.0,27.0,10.0,119.0,18.0
13.0,28.0,9.0,103.0,16.0
14.0,29.0,9.0,99.0,13.0
14.0,30.0,9.0,73.0,8.0
14.0,30.0,10.0,68.0,8.0
14.0,30.0,12.0,59.0,6.0
14.0,30.0,13.0,122.0,16.0
14.0,30.0,13.0,155.0,22.0
14.0,31.0,13.0,156.0,24.0
14.0,31.0,12.0,147.0,25.0
15.0,32.0,11.0,120.0,24.0
15.0,34.0,10.0,183.0,21.0
15.0,35.0,10.0,146.0,21.0
15.0,35.0,10.0,189.0,26.0
15.0,35.0,10.0,187.0,24.0
15.0,35.0,10.0,186.0,25.0
15.0,35.0,10.0,189.0,24.0
15.0,35.0,9.0,148.0,19.0
15.0,35.0,9.0,124.0,18.0
15.0,35.0,9.0,111.0,12.0
15.0,35.0,9.0,152.0,12.0
20.0,39.0,9.0,119.0,11.0
20.0,39.0,10.0,82.0,8.0
20.0,39.0,10.0,82.0,7.0
20.0,39.0,10.0,70.0,6.0
20.0,39.0,10.0,70.0,6.0
19.0,38.0,12.0,93.0,9.0
19.0,38.0,12.0,94.0,9.0
19.0,37.0,13.0,103.0,10.0
18.0,36.0,13.0,108.0,10.0
18.0,36.0,13.0,116.0,10.0
18.0,36.0,12.0,135.0,13.0
18.0,36.0,12.0,119.0,13.0
18.0,35.0,12.0,141.0,14.0
18.0,35.0,12.0,120.0,16.0
18.0,34.0,12.0,139.0,14.0
18.0,34.0,12.0,119.0,14.0
18.0,33.0,11.0,119.0,10.0
18.0,32.0,11.0,121.0,11.0
18.0,32.0,11.0,112.0,11.0
18.0,32.0,12.0,70.0,8.0
18.0,32.0,14.0,53.0,5.0
19.0,31.0,17.0,46.0,5.0
19.0,31.0,18.0,46.0,5.0
19.0,31.0,20.0,66.0,7.0
19.0,31.0,19.0,119.0,15.0
20.0,31.0,18.0,111.0,18.0
20.0,31.0,17.0,142.0,23.0
20.0,31.0,15.0,141.0,27.0
20.0,31.0,12.0,138.0,27.0
20.0,31.0,10.0,97.0,22.0
21.0,30.0,8.0,93.0,21.0
21.0,30.0,6.0,80.0,18.0
21.0,30.0,6.0,73.0,14.0
21.0,29.0,7.0,58.0,9.0
20.0,28.0,7.0,60.0,7.0
20.0,27.0,9.0,67.0,6.0
20.0,26.0,11.0,50.0,4.0
19.0,26.0,14.0,44.0,3.0
19.0,25.0,17.0,47.0,3.0
18.0,25.0,19.0,54.0,4.0
17.0,24.0,20.0,35.0,4.0
16.0,22.0,20.0,35.0,4.0
16.0,21.0,21.0,25.0,4.0
15.0,20.0,22.0,27.0,4.0
14.0,19.0,19.0,38.0,4.0
13.0,18.0,18.0,54.0,5.0
13.0,17.0,20.0,45.0,4.0
11.0,16.0,22.0,46.0,3.0
11.0,15.0,23.0,46.0,3.0
11.0,15.0,26.0,61.0,4.0
10.0,14.0,30.0,55.0,4.0
9.0,13.0,33.0,78.0,5.0
9.0,13.0,35.0,64.0,4.0
9.0,12.0,38.0,56.0,5.0
8.0,12.0,39.0,87.0,6.0
8.0,12.0,40.0,84.0,7.0
8.0,12.0,41.0,65.0,5.0
7.0,11.0,41.0,50.0,2.0
7.0,10.0,39.0,32.0,1.0
7.0,10.0,37.0,35.0,0.0
8.0,11.0,38.0,32.0,0.0
8.0,12.0,40.0,19.0,0.0
9.0,13.0,41.0,20.0,0.0
10.0,14.0,41.0,22.0,0.0
12.0,15.0,41.0,28.0,0.0
14.0,19.0,38.0,55.0,3.0
16.0,20.0,34.0,61.0,5.0
18.0,20.0,34.0,76.0,5.0
23.0,27.0,20.0,59.0,4.0
24.0,29.0,19.0,49.0,3.0
26.0,32.0,22.0,65.0,9.0
27.0,33.0,24.0,98.0,6.0
28.0,34.0,24.0,60.0,3.0
32.0,38.0,24.0,57.0,1.0
33.0,40.0,26.0,39.0,1.0
26.0,33.0,22.0,138.0,11.0
26.0,33.0,22.0,107.0,12.0
25.0,32.0,22.0,123.0,9.0
24.0,32.0,22.0,97.0,7.0
24.0,31.0,22.0,97.0,4.0
23.0,31.0,21.0,97.0,2.0
21.0,30.0,24.0,54.0,7.0
19.0,29.0,20.0,112.0,11.0
19.0,28.0,18.0,98.0,12.0
18.0,28.0,16.0,93.0,9.0
18.0,28.0,16.0,123.0,9.0
18.0,28.0,19.0,96.0,6.0
20.0,30.0,21.0,75.0,6.0
19.0,30.0,21.0,80.0,4.0
20.0,31.0,19.0,78.0,5.0
20.0,31.0,18.0,75.0,5.0
20.0,31.0,17.0,59.0,3.0
21.0,32.0,18.0,48.0,1.0
21.0,32.0,19.0,40.0,1.0
21.0,33.0,19.0,55.0,1.0
22.0,33.0,20.0,74.0,5.0
22.0,34.0,20.0,71.0,6.0
23.0,34.0,21.0,69.0,7.0
23.0,35.0,22.0,58.0,6.0
23.0,35.0,24.0,68.0,5.0
23.0,35.0,25.0,89.0,6.0
23.0,35.0,26.0,77.0,5.0
23.0,35.0,27.0,96.0,6.0
23.0,35.0,28.0,108.0,7.0
23.0,35.0,28.0,102.0,7.0
23.0,35.0,28.0,79.0,5.0
22.0,35.0,26.0,82.0,3.0
22.0,35.0,24.0,85.0,4.0
22.0,35.0,23.0,85.0,4.0
20.0,33.0,27.0,46.0,1.0
20.0,32.0,30.0,31.0,0.0
19.0,32.0,33.0,31.0,1.0
19.0,31.0,35.0,34.0,1.0
17.0,29.0,37.0,51.0,1.0
16.0,28.0,38.0,65.0,3.0
15.0,27.0,38.0,71.0,3.0
14.0,26.0,40.0,44.0,1.0
14.0,25.0,40.0,67.0,2.0
13.0,25.0,40.0,62.0,2.0
13.0,24.0,40.0,93.0,5.0
13.0,24.0,39.0,72.0,4.0
12.0,23.0,40.0,64.0,3.0
12.0,22.0,39.0,63.0,3.0
11.0,20.0,40.0,32.0,1.0
7.0,15.0,49.0,50.0,2.0
7.0,15.0,43.0,63.0,3.0
4.0,9.0,32.42,64.0,3.0
1.0,7.0,39.77,51.0,2.0
2.0,6.0,33.15,57.0,2.0
3.0,6.0,36.2,45.0,2.0
5.0,8.0,30.39,51.0,2.0
5.0,9.0,23.76,58.0,2.0
6.0,9.0,23.13,53.0,2.0
5.0,8.0,37.64,40.0,3.0
5.0,10.0,42.84,39.0,4.0
1.0,6.0,50.26,35.0,3.0
3.0,7.0,52.06,33.0,3.0
7.0,12.0,55.91,31.0,3.0
11.0,15.0,54.01,31.0,3.0
10.0,14.0,47.53,38.0,3.0
4.0,8.0,39.6,46.0,3.0
5.0,10.0,36.16,47.0,2.0
7.0,13.0,31.4,56.0,2.0
6.0,11.0,27.51,64.0,3.0
4.0,9.0,27.52,60.0,3.0
10.0,14.0,32.5,54.0,3.0
4.0,6.0,46.38,34.0,2.0
3.0,5.0,32.57,31.0,2.0
7.0,9.0,38.86,22.0,2.0
7.0,9.0,27.15,28.0,2.0
1.0,2.0,24.99,28.0,2.0
5.0,7.0,37.16,17.0,2.0
4.0,6.0,31.59,26.0,2.0
6.0,5.0,5.82,66.0,3.0
2.0,4.0,4.37,71.0,3.0
7.0,8.0,6.36,64.0,3.0
6.0,9.0,5.84,73.0,3.0
2.0,4.0,13.76,59.0,3.0
5.0,6.0,18.23,50.0,2.0
10.0,13.0,19.36,55.0,3.0
17.0,21.0,21.4,53.0,3.0
4.0,9.0,24.09,47.0,3.0
8.0,11.0,28.4,39.0,3.0
3.0,5.0,22.11,46.0,3.0
5.0,9.0,13.48,60.0,3.0
3.0,6.0,5.7,68.0,3.0
9.0,12.0,4.57,71.0,3.0
13.0,16.0,5.01,76.0,3.0
10.0,13.0,5.13,77.0,3.0
9.0,12.0,3.97,67.0,3.0
11.0,14.0,3.64,63.0,3.0
10.0,13.0,3.4,60.0,3.0
6.0,9.0,5.33,54.0,3.0
7.0,8.0,16.15,35.0,2.0
4.0,5.0,10.26,34.0,2.0
5.0,6.0,20.39,22.0,2.0
3.0,4.0,25.99,24.0,2.0
8.0,9.0,21.53,34.0,2.0
7.0,8.0,14.49,47.0,2.0
5.0,8.0,11.59,53.0,2.0
6.0,9.0,11.31,56.0,2.0
10.0,12.0,12.47,58.0,3.0
9.0,13.0,16.37,51.0,2.0
7.0,11.0,21.76,50.0,3.0
5.0,5.0,30.35,56.0,3.0
3.0,4.0,26.69,59.0,3.0
2.0,3.0,39.32,46.0,3.0
1.0,2.0,56.71,26.0,3.0
1.0,1.0,57.01,24.0,3.0
1.0,1.0,55.49,25.0,3.0
3.0,3.0,55.03,26.0,3.0
4.0,4.0,51.51,31.0,3.0
7.0,7.0,50.37,34.0,4.0
4.0,4.0,45.01,39.0,4.0
5.0,4.0,38.91,45.0,5.0
5.0,5.0,29.0,55.0,4.0
3.0,4.0,34.31,49.0,4.0
3.0,4.0,38.87,46.0,3.0
2.0,3.0,41.59,43.0,4.0
4.0,5.0,44.29,38.0,3.0
7.0,8.0,35.7,43.0,3.0
7.0,8.0,30.32,45.0,3.0
6.0,7.0,27.92,46.0,3.0
7.0,8.0,12.67,69.0,3.0
7.0,9.0,7.92,75.0,4.0
9.0,10.0,13.56,71.0,4.0
11.0,12.0,9.26,75.0,4.0
9.0,11.0,9.84,71.0,6.0
6.0,7.0,20.35,53.0,5.0
7.0,8.0,28.22,39.0,4.0
6.0,7.0,36.43,26.0,4.0
6.0,7.0,36.47,24.0,4.0
5.0,5.0,42.51,21.0,4.0
6.0,6.0,42.27,25.0,4.0
9.0,10.0,30.56,41.0,4.0
4.0,6.0,9.7,78.0,4.0
10.0,13.0,4.19,94.0,6.0
14.0,18.0,8.39,91.0,7.0
9.0,14.0,16.06,79.0,9.0
6.0,11.0,25.4,69.0,10.0
8.0,13.0,29.87,64.0,13.0
9.0,13.0,33.37,63.0,12.0
5.0,8.0,40.94,56.0,8.0
9.0,12.0,41.82,58.0,10.0
5.0,9.0,37.32,63.0,7.0
7.0,11.0,11.53,99.0,10.0
12.0,21.0,3.17,129.0,7.0
14.0,26.0,2.74,140.0,7.0
17.0,27.0,2.95,102.0,5.0
13.0,17.0,7.67,84.0,4.0
9.0,13.0,12.65,75.0,4.0
10.0,12.0,23.35,50.0,3.0
16.0,18.0,3.28,69.0,3.0
2.0,5.0,48.1,40.0,3.0
2.0,3.0,30.59,52.0,3.0
10.0,13.0,30.83,47.0,3.0
9.0,11.0,34.88,40.0,3.0
2.0,4.0,37.54,35.0,3.0
2.0,4.0,33.77,38.0,3.0
2.0,3.0,33.04,39.0,6.0
4.0,8.0,15.47,66.0,4.0
5.0,6.0,22.94,30.0,5.0
8.0,10.0,17.22,38.0,6.0
6.0,8.0,8.74,50.0,7.0
1.0,1.0,66.67,14.0,4.0
8.0,9.0,26.08,55.0,6.0
4.0,5.0,35.17,43.0,6.0
12.0,18.0,3.15,91.0,2.0
2.0,2.0,52.39,28.0,3.0
1.0,3.0,34.8,40.0,3.0
13.0,19.0,2.66,109.0,3.0
15.0,20.0,4.76,94.0,3.0
10.0,12.0,5.43,73.0,4.0
1.0,1.0,75.24,20.0,3.0
11.0,11.0,85.1,17.0,3.0
1.0,1.0,59.74,25.0,3.0
10.0,11.0,50.62,38.0,4.0
12.0,13.0,61.1,31.0,3.0
2.0,3.0,63.24,30.0,3.0
1.0,1.0,70.13,24.0,3.0
1.0,2.0,71.03,21.0,3.0
1.0,1.0,74.97,18.0,3.0
5.0,6.0,71.71,17.0,3.0
1.0,2.0,74.89,12.0,3.0
4.0,8.0,57.33,23.0,3.0
7.0,8.0,83.34,21.0,3.0
1.0,2.0,32.11,67.0,4.0
9.0,11.0,32.83,64.0,4.0
2.0,3.0,45.25,48.0,4.0
7.0,8.0,40.4,51.0,4.0
3.0,5.0,40.77,46.0,4.0
2.0,3.0,63.55,32.0,4.0
4.0,5.0,70.97,17.0,4.0
11.0,18.0,27.54,77.0,6.0
3.0,6.0,55.65,42.0,6.0
3.0,5.0,58.73,41.0,6.0
1.0,3.0,54.56,45.0,6.0
2.0,5.0,31.88,54.0,6.0
2.0,5.0,58.44,33.0,6.0
2.0,3.0,43.24,19.0,6.0
5.0,7.0,52.82,38.0,7.0
4.0,6.0,70.77,11.0,1.0
1.0,1.0,88.35,12.0,1.0
5.0,19.0,41.01,44.0,1.0
2.0,2.0,45.27,44.0,1.0
3.0,3.0,73.13,23.0,1.0
8.0,8.0,70.62,16.0,1.0
2.0,4.0,21.71,51.0,1.0
8.0,21.0,75.41,20.0,1.0
10.0,19.0,26.54,60.0,1.0
2.0,11.0,56.08,17.0,1.0
1.0,2.0,60.74,40.0,1.0
10.0,19.0,49.95,42.0,1.0
5.0,8.0,67.03,26.0,1.0
3.0,3.0,65.06,15.0,1.0
5.0,6.0,46.65,46.0,4.0
8.0,14.0,43.27,47.0,4.0
1.0,1.0,65.33,33.0,4.0
6.0,7.0,33.18,38.0,4.0
7.0,10.0,64.41,22.0,4.0
8.0,11.0,64.13,24.0,4.0
10.0,14.0,52.07,34.0,4.0
4.0,8.0,50.22,52.0,4.0
3.0,4.0,72.45,26.0,4.0
14.0,18.0,47.11,52.0,4.0
2.0,3.0,67.55,22.0,4.0
10.0,12.0,61.7,31.0,4.0
12.0,15.0,29.81,68.0,4.0
12.0,15.0,63.51,26.0,4.0
16.0,18.0,12.24,62.0,4.0
19.0,25.0,10.53,101.0,4.0
8.0,11.0,59.57,22.0,4.0
9.0,10.0,57.02,30.0,4.0
6.0,8.0,20.11,65.0,4.0
1.0,1.0,77.33,23.0,4.0
2.0,3.0,14.3,74.0,4.0
15.0,17.0,65.96,11.0,3.0
1.0,1.0,20.41,65.0,4.0
6.0,13.0,68.31,19.0,4.0
3.0,12.0,15.93,67.0,4.0
5.0,8.0,66.72,18.0,4.0
2.0,4.0,36.44,42.0,4.0
6.0,9.0,83.64,14.0,4.0
2.0,6.0,70.52,15.0,4.0
15.0,23.0,58.76,30.0,4.0
12.0,19.0,28.67,20.0,4.0
3.0,7.0,75.74,12.0,4.0
8.0,15.0,76.64,12.0,4.0
15.0,31.0,78.16,24.0,4.0
10.0,27.0,85.35,16.0,4.0
13.0,28.0,32.03,81.0,4.0
16.0,25.0,62.31,24.0,4.0
19.0,29.0,62.7,22.0,4.0
19.0,29.0,59.21,23.0,4.0
17.0,28.0,60.38,20.0,4.0
13.0,22.0,56.79,24.0,4.0
15.0,23.0,51.17,31.0,4.0
13.0,22.0,47.37,43.0,4.0
16.0,27.0,60.0,46.0,4.0
18.0,31.0,75.25,44.0,4.0
16.0,32.0,94.78,43.0,4.0
12.0,27.0,116.8,36.0,4.0
10.0,24.0,139.2,33.0,4.0
23.0,38.0,141.6,32.0,4.0
17.0,32.0,141.6,29.0,4.0
14.0,31.0,151.3,19.0,4.0
14.0,34.0,143.9,33.0,4.0
13.0,41.0,149.0,32.0,4.0
27.0,55.0,152.3,36.0,4.0
28.0,57.0,125.7,74.0,4.0
28.0,59.0,64.58,128.0,4.0
25.0,48.0,67.36,77.0,4.0
14.0,21.0,73.79,53.0,4.0
15.0,25.0,76.96,39.0,4.0
15.0,26.0,65.5,46.0,4.0
13.0,24.0,59.62,45.0,4.0
14.0,25.0,52.07,50.0,4.0
15.0,26.0,64.84,35.0,4.0
15.0,25.0,71.37,25.0,4.0
9.0,19.0,65.81,28.0,4.0
9.0,18.0,65.38,28.0,4.0
10.0,20.0,61.91,29.0,4.0
13.0,25.0,59.84,38.0,4.0
13.0,28.0,85.16,28.0,4.0
14.0,29.0,94.14,28.0,4.0
11.0,28.0,110.5,28.0,4.0
17.0,33.0,125.3,33.0,4.0
16.0,33.0,140.1,35.0,4.0
23.0,55.0,147.4,31.0,4.0
26.0,67.0,145.6,29.0,4.0
29.0,70.0,125.4,31.0,4.0
33.0,92.0,123.7,28.0,4.0
40.0,110.0,119.6,33.0,4.0
40.0,117.0,97.66,61.0,4.0
13.0,27.0,83.0,15.0,4.0
22.0,52.0,70.18,35.0,4.0
23.0,42.0,63.5,37.0,4.0
18.0,29.0,62.64,24.0,4.0
23.0,34.0,58.03,38.0,4.0
7.0,18.0,47.01,42.0,4.0
4.0,10.0,83.34,19.0,4.0
9.0,16.0,72.95,19.0,4.0
15.0,29.0,7.94,98.0,4.0
9.0,17.0,68.7,25.0,4.0
6.0,13.0,75.06,23.0,4.0
12.0,19.0,98.6,19.0,4.0
11.0,26.0,87.12,17.0,4.0
14.0,24.0,93.1,17.0,4.0
13.0,26.0,67.72,42.0,4.0
