pm25,pm10,o3,no2,so2
8.75,37.84,17.73,6.63,7.58
7.13,29.43,21.5,6.59,2.48
6.98,24.88,10.84,6.55,6.4
7.39,26.1,9.46,6.71,7.23
6.99,38.58,20.08,6.67,8.75
6.73,51.95,11.68,7.08,1.9
6.43,64.5,18.24,7.24,0.0
6.67,71.69,21.76,7.09,0.0
6.84,81.3,4.24,6.93,0.09
6.7,80.76,11.2,6.79,5.11
5.79,69.73,17.3,6.79,6.71
4.66,66.97,15.96,7.1,1.05
5.14,58.5,12.74,7.32,0.0
4.91,54.64,9.21,7.16,0.0
4.14,56.75,8.89,7.15,0.0
4.97,59.38,0.17,7.14,0.0
8.08,62.24,3.1,7.13,0.0
8.42,67.79,17.86,7.13,0.0
9.67,69.49,14.78,7.28,0.0
12.16,70.23,14.53,6.91,0.0
11.49,73.83,19.23,7.0,3.44
11.7,70.78,23.13,6.61,8.9
13.25,64.34,29.4,6.39,14.41
13.2,58.0,26.06,5.94,24.62
12.1,51.59,29.56,6.47,16.05
11.1,45.56,27.73,6.47,8.99
10.57,41.45,24.65,6.44,10.3
10.32,38.95,21.38,6.71,8.24
9.44,42.65,24.4,6.63,9.29
8.75,45.34,21.71,6.81,3.75
8.48,47.16,24.49,6.91,0.0
7.69,47.99,32.83,6.82,0.0
6.18,40.61,9.26,6.72,1.02
11.17,39.55,17.04,6.62,4.56
14.22,45.37,13.69,6.41,6.13
11.97,46.09,8.79,6.72,1.98
9.46,40.93,6.77,6.95,0.0
8.14,39.09,6.29,6.93,0.0
7.25,46.46,9.03,6.79,0.0
7.47,52.47,9.13,6.81,0.01
10.55,51.96,18.97,6.42,2.25
11.79,55.26,16.87,6.73,0.83
11.17,63.74,48.73,6.86,0.0
10.72,66.63,21.78,6.49,0.0
9.32,65.23,17.01,6.43,2.44
8.92,62.89,31.63,6.24,7.52
7.72,57.41,33.37,6.26,11.65
9.0,49.21,29.29,5.76,23.41
10.38,38.34,37.03,6.16,17.2
9.87,30.26,28.5,6.03,11.22
8.71,28.62,32.78,5.92,14.91
7.18,32.47,24.24,6.47,11.31
7.77,38.96,25.39,6.52,8.79
8.61,41.53,27.9,6.46,4.52
7.29,36.84,14.66,6.7,0.0
5.84,33.42,34.27,6.68,0.0
5.91,36.71,34.63,6.54,1.3
7.15,37.02,74.84,6.53,0.79
8.28,38.85,49.68,6.56,1.16
7.34,40.8,16.41,6.82,0.94
6.21,40.92,41.34,6.59,0.0
6.23,44.88,28.93,6.64,0.0
6.08,44.08,17.25,6.49,0.0
7.75,39.08,22.02,6.37,0.12
8.47,39.02,20.39,6.48,0.85
6.97,45.9,22.67,6.44,0.97
8.85,53.19,37.68,6.51,0.0
9.59,52.53,24.97,6.3,0.0
8.85,49.63,28.22,6.23,0.0
10.59,49.07,21.21,6.47,0.02
9.96,43.71,24.38,6.51,1.08
9.25,44.24,31.29,5.87,8.89
8.07,51.92,22.61,6.17,1.72
6.73,47.88,31.63,6.11,0.0
5.74,40.88,21.4,5.94,1.7
4.79,41.91,24.39,6.26,3.28
5.6,44.65,21.19,6.33,1.71
7.02,43.36,27.77,6.26,1.2
7.99,41.12,29.61,6.51,0.0
7.93,36.55,32.02,6.47,0.0
6.52,34.91,17.62,6.25,0.03
6.05,37.45,17.56,6.38,1.2
5.7,31.93,22.05,6.42,1.11
4.67,31.35,22.81,6.49,1.04
4.87,38.6,25.06,6.48,0.0
5.26,39.44,29.41,6.35,0.0
5.88,35.55,13.74,6.38,0.0
5.97,33.32,14.39,6.25,0.03
5.08,31.81,9.26,6.42,0.35
4.65,33.06,10.42,6.76,0.67
4.15,39.26,19.41,6.78,0.0
4.22,46.59,22.6,6.65,0.0
4.87,50.61,8.84,6.27,0.0
