pm25,pm10,o3,no2,so2,co
99.23333485921223,,,,,
99.4958330790202,,,,,
94.97083282470705,,,,,
101.80416679382324,,,,,
52.52916749318441,,,,,
46.479166984558105,,,,,
46.22083314259847,,,,,
44.71249993642172,,,,,
50.63750044504801,,,,,
51.34999974568685,,,,,
44.41666666666666,,,,,
47.12083307902018,,,,,
55.84583377838135,,,,,
64.65000057220459,,,,,
59.64583396911621,,,,,
84.95833333333333,,,,,
89.26249821980794,,,,,
96.60833231608072,,,,,
122.5458329518636,,,,,
66.95833396911621,,,,,
84.77916526794434,,,,,
109.82916577657063,,,,,
134.1125005086263,,,,,
123.03333346048991,,,,,
111.28333282470705,,,,,
115.52499961853027,,,,,
122.75833320617676,,,,,
110.27499834696452,,,,,
115.86250114440918,,,,,
119.81249936421712,,,,,
93.73333422342937,,,,,
82.63333384195964,,,,,
77.22083409627278,,,,,
73.51250012715657,,,,,
69.7333329518636,,,,,
69.01666768391927,,,,,
82.05416615804036,,,,,
73.04583422342937,,,,,
66.55833339691162,,,,,
61.60416634877523,,,,,
68.51666641235352,,,,,
79.40416781107585,,,,,
71.10416666666667,,,,,
101.8125,,,,,
136.31250063578287,,,,,
89.85833231608073,,,,,
79.13750076293945,,,,,
87.88333257039388,,,,,
89.53749974568684,,,,,
78.54999860127766,,,,,
64.07916514078777,,,,,
58.91250038146973,,,,,
82.17916615804036,,,,,
120.4583339691162,,,,,
102.3375021616618,,,,,
81.53750038146973,,,,,
82.55416679382324,,,,,
92.3541653951009,,,,,
83.48333104451497,,,,,
76.76666831970215,,,,,
83.79999923706055,,,,,
76.50833320617676,,,,,
59.26250012715658,,,,,
58.57083288828532,,,,,
62.662500063578285,,,,,
74.06250127156575,,,,,
91.7541669209798,,,,,
124.40833473205566,,,,,
132.73750114440918,,,,,
59.83181797374379,,,,,
75.24444580078125,,,,,
67.24583498636882,,,,,
57.41250038146973,,,,,
51.84583377838135,,,,,
55.920833905537926,,,,,
60.36666742960612,,,,,
56.48749987284342,,,,,
77.80416679382324,,,,,
75.7666670481364,,,,,
82.80416552225749,,,,,
88.46250025431316,,,,,
87.42083358764648,,,,,
105.59166653951009,,,,,
99.68333371480306,,,,,
89.86666742960612,,,,,
81.39583269755046,,,,,
97.13750076293944,,,,,
139.09166526794434,,,,,
124.32500012715656,,,,,
92.8000005086263,,,,,
87.27083333333333,,,,,
76.76250076293945,,,,,
72.65833346048991,,,,,
70.45416577657063,,,,,
64.72916634877522,,,,,
59.04166666666666,,,,,
61.05833371480306,,,,,
65.72499974568684,,,,,
