location_id,location_name,datetimeUtc,latitude,longitude,no,no2,o3,pm10,pm25,so2
4084,VITRY-SUR-SEINE,2018-01-07 11:00:00+00:00,48.77589800004221,2.37578800006495,,16.0,32.0,21.4,17.93,1.0
4084,VITRY-SUR-SEINE,2018-01-07 12:00:00+00:00,48.77589800004221,2.37578800006495,,15.25,32.0,12.85,18.0,1.0
4084,VITRY-SUR-SEINE,2018-01-07 13:00:00+00:00,48.77589800004221,2.37578800006495,,15.0,31.25,15.55,14.5,1.0
4084,VITRY-SUR-SEINE,2018-01-07 14:00:00+00:00,48.77589800004221,2.37578800006495,,15.0,29.75,12.4,12.63,1.0
4084,VITRY-SUR-SEINE,2018-01-07 15:00:00+00:00,48.77589800004221,2.37578800006495,,16.75,26.0,13.28,10.4,1.0
4084,VITRY-SUR-SEINE,2018-01-07 16:00:00+00:00,48.77589800004221,2.37578800006495,,19.0,21.25,12.58,10.5,1.0
4084,VITRY-SUR-SEINE,2018-01-07 17:00:00+00:00,48.77589800004221,2.37578800006495,,24.75,15.0,10.6,16.58,1.0
4084,VITRY-SUR-SEINE,2018-01-07 18:00:00+00:00,48.77589800004221,2.37578800006495,,26.0,12.5,10.55,9.85,1.0
4084,VITRY-SUR-SEINE,2018-01-07 19:00:00+00:00,48.77589800004221,2.37578800006495,,26.5,11.5,13.38,14.68,1.0
4084,VITRY-SUR-SEINE,2018-01-07 20:00:00+00:00,48.77589800004221,2.37578800006495,,25.25,12.25,11.73,11.83,0.75
4084,VITRY-SUR-SEINE,2018-01-07 21:00:00+00:00,48.77589800004221,2.37578800006495,,22.0,14.25,13.78,15.18,0.25
4084,VITRY-SUR-SEINE,2018-01-07 22:00:00+00:00,48.77589800004221,2.37578800006495,,18.75,16.75,12.28,8.53,0.5
4084,VITRY-SUR-SEINE,2018-01-07 23:00:00+00:00,48.77589800004221,2.37578800006495,,14.0,21.5,9.33,10.28,0.25
4084,VITRY-SUR-SEINE,2018-01-08 00:00:00+00:00,48.77589800004221,2.37578800006495,,10.25,25.0,12.15,12.5,0.5
4084,VITRY-SUR-SEINE,2018-01-08 01:00:00+00:00,48.77589800004221,2.37578800006495,,9.0,26.0,8.43,8.03,0.0
4084,VITRY-SUR-SEINE,2018-01-08 02:00:00+00:00,48.77589800004221,2.37578800006495,,8.25,26.5,11.38,10.0,0.0
4084,VITRY-SUR-SEINE,2018-01-08 03:00:00+00:00,48.77589800004221,2.37578800006495,,8.0,26.25,9.28,8.5,0.25
4084,VITRY-SUR-SEINE,2018-01-08 04:00:00+00:00,48.77589800004221,2.37578800006495,,8.25,26.75,8.68,9.78,0.0
4084,VITRY-SUR-SEINE,2018-01-08 05:00:00+00:00,48.77589800004221,2.37578800006495,,10.25,24.75,7.2,14.08,0.25
4084,VITRY-SUR-SEINE,2018-01-08 06:00:00+00:00,48.77589800004221,2.37578800006495,,21.5,14.75,,,0.25
4084,VITRY-SUR-SEINE,2018-01-08 07:00:00+00:00,48.77589800004221,2.37578800006495,,,,10.98,14.18,
4084,VITRY-SUR-SEINE,2018-01-08 08:00:00+00:00,48.77589800004221,2.37578800006495,,32.5,5.75,18.8,14.4,0.25
4084,VITRY-SUR-SEINE,2018-01-08 09:00:00+00:00,48.77589800004221,2.37578800006495,,28.5,7.5,11.18,12.43,0.25
4084,VITRY-SUR-SEINE,2018-01-08 10:00:00+00:00,48.77589800004221,2.37578800006495,,25.0,10.5,17.8,18.45,0.0
4084,VITRY-SUR-SEINE,2018-01-08 11:00:00+00:00,48.77589800004221,2.37578800006495,,20.5,14.0,17.9,25.75,0.0
4084,VITRY-SUR-SEINE,2018-01-08 12:00:00+00:00,48.77589800004221,2.37578800006495,,14.75,18.25,18.23,16.75,0.0
4084,VITRY-SUR-SEINE,2018-01-08 13:00:00+00:00,48.77589800004221,2.37578800006495,,12.75,20.0,21.63,16.9,0.0
4084,VITRY-SUR-SEINE,2018-01-08 14:00:00+00:00,48.77589800004221,2.37578800006495,,17.75,17.25,17.13,13.63,0.25
4084,VITRY-SUR-SEINE,2018-01-08 15:00:00+00:00,48.77589800004221,2.37578800006495,,16.75,17.75,19.9,16.98,0.0
4084,VITRY-SUR-SEINE,2018-01-08 16:00:00+00:00,48.77589800004221,2.37578800006495,,28.25,7.5,26.3,22.68,0.25
4084,VITRY-SUR-SEINE,2018-01-08 17:00:00+00:00,48.77589800004221,2.37578800006495,,33.75,2.5,25.33,18.73,0.0
4084,VITRY-SUR-SEINE,2018-01-08 18:00:00+00:00,48.77589800004221,2.37578800006495,,35.75,0.0,26.33,19.5,0.0
4084,VITRY-SUR-SEINE,2018-01-08 19:00:00+00:00,48.77589800004221,2.37578800006495,,36.0,0.25,28.18,20.58,0.25
4084,VITRY-SUR-SEINE,2018-01-08 20:00:00+00:00,48.77589800004221,2.37578800006495,,31.75,1.0,26.28,25.38,0.0
4084,VITRY-SUR-SEINE,2018-01-08 21:00:00+00:00,48.77589800004221,2.37578800006495,,28.25,3.0,25.1,19.73,0.0
4084,VITRY-SUR-SEINE,2018-01-08 22:00:00+00:00,48.77589800004221,2.37578800006495,,25.5,2.75,25.35,24.78,0.25
4084,VITRY-SUR-SEINE,2018-01-08 23:00:00+00:00,48.77589800004221,2.37578800006495,,27.0,1.5,28.48,23.9,0.0
4084,VITRY-SUR-SEINE,2018-01-09 00:00:00+00:00,48.77589800004221,2.37578800006495,,29.5,0.0,26.35,24.8,0.0
4084,VITRY-SUR-SEINE,2018-01-09 01:00:00+00:00,48.77589800004221,2.37578800006495,,26.75,0.0,22.25,22.33,1.0
4084,VITRY-SUR-SEINE,2018-01-09 02:00:00+00:00,48.77589800004221,2.37578800006495,,26.5,0.0,25.28,24.2,1.0
4084,VITRY-SUR-SEINE,2018-01-09 03:00:00+00:00,48.77589800004221,2.37578800006495,,25.75,0.0,23.4,21.73,1.0
4084,VITRY-SUR-SEINE,2018-01-09 04:00:00+00:00,48.77589800004221,2.37578800006495,,25.75,0.0,22.98,19.73,1.0
4084,VITRY-SUR-SEINE,2018-01-09 05:00:00+00:00,48.77589800004221,2.37578800006495,,27.5,0.0,37.68,36.9,1.0
4084,VITRY-SUR-SEINE,2018-01-09 06:00:00+00:00,48.77589800004221,2.37578800006495,,29.75,0.0,27.85,22.1,1.25
4084,VITRY-SUR-SEINE,2018-01-09 07:00:00+00:00,48.77589800004221,2.37578800006495,,36.25,0.0,31.88,28.98,1.5
4084,VITRY-SUR-SEINE,2018-01-09 08:00:00+00:00,48.77589800004221,2.37578800006495,,38.0,0.0,35.55,23.83,1.5
4084,VITRY-SUR-SEINE,2018-01-09 09:00:00+00:00,48.77589800004221,2.37578800006495,,30.0,0.0,31.4,27.68,1.25
4084,VITRY-SUR-SEINE,2018-01-09 10:00:00+00:00,48.77589800004221,2.37578800006495,,28.75,0.0,38.3,32.38,1.5
4084,VITRY-SUR-SEINE,2018-01-09 11:00:00+00:00,48.77589800004221,2.37578800006495,,23.75,2.0,39.28,31.6,1.0
4084,VITRY-SUR-SEINE,2018-01-09 12:00:00+00:00,48.77589800004221,2.37578800006495,,21.0,4.25,30.93,25.15,1.25
4084,VITRY-SUR-SEINE,2018-01-09 13:00:00+00:00,48.77589800004221,2.37578800006495,,19.25,3.25,25.33,26.0,1.0
4084,VITRY-SUR-SEINE,2018-01-09 14:00:00+00:00,48.77589800004221,2.37578800006495,,17.75,2.5,34.25,21.63,1.25
4084,VITRY-SUR-SEINE,2018-01-09 15:00:00+00:00,48.77589800004221,2.37578800006495,,22.5,2.75,31.23,22.9,1.0
4084,VITRY-SUR-SEINE,2018-01-09 16:00:00+00:00,48.77589800004221,2.37578800006495,,26.75,2.0,33.3,23.9,1.0
4084,VITRY-SUR-SEINE,2018-01-09 17:00:00+00:00,48.77589800004221,2.37578800006495,,31.0,2.5,25.55,20.03,1.0
4084,VITRY-SUR-SEINE,2018-01-09 18:00:00+00:00,48.77589800004221,2.37578800006495,,30.25,11.25,16.98,12.93,1.0
4084,VITRY-SUR-SEINE,2018-01-09 19:00:00+00:00,48.77589800004221,2.37578800006495,,26.5,18.25,14.23,10.4,1.0
4084,VITRY-SUR-SEINE,2018-01-09 20:00:00+00:00,48.77589800004221,2.37578800006495,,24.5,21.0,17.03,12.1,0.75
4084,VITRY-SUR-SEINE,2018-01-09 21:00:00+00:00,48.77589800004221,2.37578800006495,,20.25,25.25,18.38,12.4,1.0
4084,VITRY-SUR-SEINE,2018-01-09 22:00:00+00:00,48.77589800004221,2.37578800006495,,16.0,30.5,16.68,10.7,1.0
4084,VITRY-SUR-SEINE,2018-01-09 23:00:00+00:00,48.77589800004221,2.37578800006495,,13.75,34.25,14.55,9.43,1.25
4084,VITRY-SUR-SEINE,2018-01-10 00:00:00+00:00,48.77589800004221,2.37578800006495,,13.0,36.75,10.78,11.28,1.25
4084,VITRY-SUR-SEINE,2018-01-10 01:00:00+00:00,48.77589800004221,2.37578800006495,,10.5,40.75,8.93,7.13,1.0
4084,VITRY-SUR-SEINE,2018-01-10 02:00:00+00:00,48.77589800004221,2.37578800006495,,9.5,40.75,10.45,7.5,1.5
4084,VITRY-SUR-SEINE,2018-01-10 03:00:00+00:00,48.77589800004221,2.37578800006495,,9.75,41.75,8.43,8.6,2.0
4084,VITRY-SUR-SEINE,2018-01-10 04:00:00+00:00,48.77589800004221,2.37578800006495,,12.0,40.75,8.63,7.6,1.5
4084,VITRY-SUR-SEINE,2018-01-10 05:00:00+00:00,48.77589800004221,2.37578800006495,,17.5,36.0,10.5,6.63,1.75
4084,VITRY-SUR-SEINE,2018-01-10 06:00:00+00:00,48.77589800004221,2.37578800006495,,35.75,20.5,10.38,6.3,1.75
4084,VITRY-SUR-SEINE,2018-01-10 07:00:00+00:00,48.77589800004221,2.37578800006495,,41.0,15.75,9.35,8.18,1.25
