location_id,location_name,latitude,longitude,co,no2,o3,pm10,pm25,so2
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8810.8,6.28,22.87,61.69,5.45,2.16
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8138.8,6.75,10.34,56.18,5.44,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7604.1,6.74,5.32,49.45,4.45,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7332.1,6.45,9.14,42.41,5.05,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6922.2,6.43,18.51,36.53,5.25,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5674.0,6.4,11.9,36.02,4.63,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6384.7,6.43,20.74,35.3,8.18,0.48
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8893.8,6.75,16.67,31.84,9.54,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9293.2,6.77,34.39,30.78,8.14,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8510.6,6.6,13.46,28.81,7.58,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8143.7,6.39,22.64,31.07,6.8,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6740.8,6.35,13.56,39.92,6.9,0.01
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7282.1,6.27,21.42,42.14,7.27,0.72
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7198.9,6.37,13.75,43.45,6.99,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7790.7,6.41,17.37,44.72,6.74,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8652.7,6.37,17.0,45.88,7.21,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8174.5,6.5,8.72,51.68,7.68,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6821.7,6.43,9.06,51.4,11.15,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6655.2,6.19,9.08,47.68,11.29,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7679.7,6.7,16.9,46.31,9.09,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5915.6,6.77,13.04,45.64,7.64,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5274.2,6.69,10.41,44.59,6.14,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5359.2,6.73,9.91,14.71,7.43,0.11
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7388.5,7.03,8.72,16.69,7.65,0.01
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6547.2,6.77,8.19,16.21,7.74,0.03
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6995.9,6.57,7.78,21.36,7.45,1.79
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6924.8,6.91,21.59,27.73,6.23,0.06
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5494.0,6.77,14.48,23.77,5.62,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5725.4,6.59,10.69,30.06,5.32,0.05
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6232.2,6.88,4.26,32.75,5.99,0.57
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6964.2,6.75,0.14,36.77,9.98,0.74
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7103.9,6.86,6.7,44.63,10.7,1.76
