location_id,location_name,latitude,longitude,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,16.5,7.3,29.0,,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.2,7.3,29.0,,,10.2,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.5,7.3,76.0,9.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,18.4,7.3,76.0,9.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,17.5,7.3,76.0,9.0,,10.2,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,17.5,7.3,76.0,9.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.7,7.3,63.0,9.0,,11.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.9,7.3,63.0,9.0,,11.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,15.2,6.7,63.0,9.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,16.4,7.1,79.0,18.0,,11.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,19.0,6.9,79.0,18.0,,11.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,19.0,7.1,79.0,18.0,,12.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,700.0,,18.6,5.9,79.0,18.0,,12.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,700.0,,20.3,7.1,59.0,13.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,19.6,6.5,59.0,13.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,22.4,6.7,59.0,13.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,21.6,7.5,81.0,16.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,19.7,6.9,81.0,,,8.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,19.9,7.1,81.0,16.0,,9.2,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,19.7,7.3,81.0,16.0,,9.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,16.9,8.0,99.0,23.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,15.2,8.4,99.0,,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,11.1,10.2,99.0,23.0,,10.2,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,13.0,9.4,99.0,23.0,,9.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,,,15.6,10.2,80.0,13.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.9,9.2,80.0,13.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.5,9.0,80.0,13.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,14.1,10.2,80.0,13.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,14.7,11.0,87.0,16.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,15.2,11.2,87.0,16.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.9,11.0,87.0,16.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.1,11.0,87.0,16.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.4,12.0,86.0,40.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.1,12.2,86.0,40.0,,10.2,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.5,12.4,86.0,40.0,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,15.8,12.9,86.0,40.0,,10.2,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,15.8,13.5,76.0,22.0,,10.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.7,13.7,76.0,22.0,,9.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,18.2,13.7,76.0,22.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,33.1,12.4,76.0,22.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,38.4,11.2,81.0,32.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,41.4,10.0,81.0,32.0,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,35.2,10.8,81.0,32.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,32.0,12.0,81.0,32.0,,11.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,33.5,12.8,51.0,,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,34.4,13.1,51.0,,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,41.4,11.4,51.0,,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,36.9,10.6,51.0,,,10.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,36.3,10.2,136.0,30.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,37.4,10.6,136.0,30.0,,11.8,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,38.2,10.0,136.0,30.0,,12.8,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,36.5,10.6,136.0,30.0,,13.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,38.0,9.4,125.0,34.0,,13.9,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,43.4,8.8,125.0,34.0,,13.9,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,44.8,7.3,125.0,34.0,,13.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,40.8,8.6,125.0,34.0,,13.9,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,800.0,,35.0,7.3,143.0,38.0,,13.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,800.0,,32.2,10.6,143.0,38.0,,14.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,800.0,,24.8,8.8,143.0,38.0,,14.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,1200.0,,39.7,8.4,67.0,25.0,,14.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,1200.0,,45.9,7.7,67.0,25.0,,14.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,1000.0,,49.1,9.8,67.0,25.0,,13.9,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,600.0,,45.7,9.4,67.0,25.0,,14.1,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,500.0,,45.1,9.0,126.0,85.0,,14.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,40.6,9.8,126.0,85.0,,15.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,39.5,9.0,101.0,25.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,0.0,,36.7,9.8,101.0,25.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,,,22.6,9.0,101.0,25.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,,,18.1,9.4,101.0,25.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,0.0,,18.1,10.4,67.0,17.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,16.5,10.6,67.0,17.0,,14.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,14.5,9.8,67.0,17.0,,13.9,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,100.0,,16.9,14.3,67.0,17.0,,13.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,17.7,6.7,38.0,,,14.4,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,17.7,,38.0,,,14.7,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,25.4,7.1,40.0,1.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,25.8,7.8,40.0,1.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,25.0,8.0,40.0,1.0,,11.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,24.6,10.4,40.0,1.0,,11.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,21.6,8.6,,25.0,,11.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,18.2,8.0,110.0,25.0,,12.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,20.9,11.0,110.0,25.0,,11.3,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,20.5,9.6,112.0,23.0,,11.8,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,19.9,9.0,112.0,23.0,,12.6,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,19.7,9.2,112.0,23.0,,12.0,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,19.7,10.8,,,,11.8,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,200.0,,21.2,10.0,128.0,24.0,,,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,24.4,12.8,128.0,24.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,300.0,,24.3,10.8,128.0,24.0,,10.5,
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,400.0,,30.8,10.8,128.0,24.0,,10.2,
